rank,frame_id,label,score
0,20251112_191827_Cam4_00095,1,0.01023907
1,20251210_185619_Cam4_00024,1,0.00459816
2,20250417_123456_Cam4_00134,0,0.00421641
3,20251112_191827_Cam4_00011,1,0.00406452
4,20251210_185619_Cam4_00022,1,0.00395782
5,20250417_123456_Cam4_00162,1,0.00364477
6,20250417_123456_Cam4_00079,0,0.00337761
7,20251112_191827_Cam4_00054,1,0.00337212
8,20251112_191827_Cam4_00088,1,0.00325417
9,20250417_123456_Cam4_00152,0,0.00313719
10,20251210_185619_Cam4_00046,0,0.00313264
11,20251112_191827_Cam4_00066,0,0.00308872
12,20251210_185619_Cam4_00034,0,0.00308386
13,20251112_191827_Cam4_00028,1,0.00295078
14,20251112_191827_Cam4_00015,1,0.00272807
15,20251112_191827_Cam4_00034,0,0.00270932
16,20250417_123456_Cam4_00140,1,0.00243026
17,20251112_191827_Cam4_00063,0,0.00238622
