rank,frame_id,label,score
0,20251112_191827_Cam4_00015,1,157.85577393
1,20251112_191827_Cam4_00095,1,154.57556152
2,20251112_191827_Cam4_00088,1,146.52563477
3,20250417_123456_Cam4_00140,1,142.36035156
4,20251112_191827_Cam4_00028,1,137.31828308
5,20251112_191827_Cam4_00011,1,128.59620667
6,20250417_123456_Cam4_00162,1,126.07109833
7,20251210_185619_Cam4_00024,1,124.12135315
8,20250417_123456_Cam4_00152,0,107.64409637
9,20251112_191827_Cam4_00054,1,99.41575623
10,20251210_185619_Cam4_00022,1,98.83341217
11,20251210_185619_Cam4_00034,0,97.93867493
12,20251112_191827_Cam4_00066,0,97.44947052
13,20251112_191827_Cam4_00063,0,94.84592438
14,20250417_123456_Cam4_00079,0,92.71667480
15,20251112_191827_Cam4_00034,0,92.66498566
16,20251210_185619_Cam4_00046,0,92.43138123
17,20250417_123456_Cam4_00134,0,91.37116241
