rank,frame_id,label,score
0,20251112_191827_Cam4_00095,1,0.88934261
1,20251112_191827_Cam4_00015,1,0.87244612
2,20251112_191827_Cam4_00088,1,0.86458296
3,20251112_191827_Cam4_00011,1,0.86040890
4,20251112_191827_Cam4_00028,1,0.83272964
5,20250417_123456_Cam4_00140,1,0.81545115
6,20251112_191827_Cam4_00054,1,0.81459093
7,20251210_185619_Cam4_00024,1,0.79396886
8,20251112_191827_Cam4_00066,0,0.77935904
9,20250417_123456_Cam4_00152,0,0.77324355
10,20251210_185619_Cam4_00034,0,0.76755458
11,20251210_185619_Cam4_00022,1,0.76059753
12,20250417_123456_Cam4_00162,1,0.75946987
13,20251112_191827_Cam4_00034,0,0.75869960
14,20251112_191827_Cam4_00063,0,0.75869316
15,20251210_185619_Cam4_00046,0,0.75826806
16,20250417_123456_Cam4_00079,0,0.74764001
17,20250417_123456_Cam4_00134,0,0.73198795
