rank,frame_id,label,score
0,20251112_191827_Cam4_00028,1,0.06954486
1,20251112_191827_Cam4_00054,1,0.06201627
2,20251112_191827_Cam4_00095,1,0.05988371
3,20251112_191827_Cam4_00015,1,0.05657278
4,20250417_123456_Cam4_00140,1,0.04105357
5,20251210_185619_Cam4_00022,1,0.03734896
6,20251112_191827_Cam4_00011,1,0.03296953
7,20250417_123456_Cam4_00162,1,0.03197206
8,20251112_191827_Cam4_00066,0,0.03164910
9,20251112_191827_Cam4_00088,1,0.03118109
10,20251210_185619_Cam4_00024,1,0.03098604
11,20251112_191827_Cam4_00034,0,0.02927912
12,20251112_191827_Cam4_00063,0,0.02828431
13,20251210_185619_Cam4_00034,0,0.02692312
14,20250417_123456_Cam4_00152,0,0.02304212
15,20250417_123456_Cam4_00079,0,0.02260553
16,20251210_185619_Cam4_00046,0,0.02134810
17,20250417_123456_Cam4_00134,0,0.02104114
