rank,frame_id,label,score
0,20251112_191827_Cam4_00054,1,0.08616439
1,20250417_123456_Cam4_00079,0,0.08364595
2,20251112_191827_Cam4_00015,1,0.08315819
3,20251112_191827_Cam4_00066,0,0.08159728
4,20251112_191827_Cam4_00028,1,0.07990222
5,20251112_191827_Cam4_00095,1,0.07965630
6,20251112_191827_Cam4_00011,1,0.07256778
7,20251112_191827_Cam4_00088,1,0.07201908
8,20251112_191827_Cam4_00063,0,0.07178392
9,20251210_185619_Cam4_00046,0,0.07138028
10,20250417_123456_Cam4_00140,1,0.06479919
11,20251112_191827_Cam4_00034,0,0.06454711
12,20250417_123456_Cam4_00162,1,0.06419829
13,20251210_185619_Cam4_00022,1,0.06372539
14,20251210_185619_Cam4_00024,1,0.06346634
15,20251210_185619_Cam4_00034,0,0.06168855
16,20250417_123456_Cam4_00134,0,0.05680420
17,20250417_123456_Cam4_00152,0,0.05546198
