rank,frame_id,label,score
0,20251112_191827_Cam1_00015,1,321.09655762
1,20251112_191827_Cam1_00095,1,317.66711426
2,20251210_185619_Cam1_00017,1,275.78411865
3,20251112_191827_Cam1_00028,1,260.87701416
4,20250417_123456_Cam1_00148,1,256.55307007
5,20251210_185619_Cam1_00036,1,253.34523010
6,20251210_185619_Cam1_00040,1,248.68423462
7,20250417_123456_Cam1_00162,1,231.96388245
8,20251210_185619_Cam1_00007,1,230.49577332
9,20251210_185619_Cam1_00013,0,229.35548401
10,20251210_185619_Cam1_00048,0,228.15950012
11,20251210_185619_Cam1_00010,0,227.33364868
12,20251210_185619_Cam1_00015,0,227.20304871
13,20251210_185619_Cam1_00038,0,226.83709717
14,20251210_185619_Cam1_00021,0,226.07658386
15,20251210_185619_Cam1_00018,0,225.77168274
16,20251210_185619_Cam1_00044,1,224.89627075
17,20251210_185619_Cam1_00045,0,224.80743408
18,20251210_185619_Cam1_00020,0,224.71720886
19,20251210_185619_Cam1_00025,0,223.49436951
20,20250417_123456_Cam1_00147,1,220.95419312
