rank,frame_id,label,score
0,20251112_191827_Cam1_00028,1,0.40798008
1,20251112_191827_Cam1_00015,1,0.40712893
2,20251210_185619_Cam1_00013,0,0.39078605
3,20251210_185619_Cam1_00045,0,0.39021701
4,20251210_185619_Cam1_00018,0,0.38951042
5,20251210_185619_Cam1_00040,1,0.38889819
6,20251210_185619_Cam1_00021,0,0.38783789
7,20251210_185619_Cam1_00038,0,0.38770890
8,20251210_185619_Cam1_00010,0,0.38568074
9,20251112_191827_Cam1_00095,1,0.38523811
10,20251210_185619_Cam1_00044,1,0.38427925
11,20251210_185619_Cam1_00017,1,0.38289964
12,20251210_185619_Cam1_00025,0,0.38262194
13,20251210_185619_Cam1_00015,0,0.38201451
14,20251210_185619_Cam1_00048,0,0.38039970
15,20251210_185619_Cam1_00020,0,0.37838495
16,20251210_185619_Cam1_00036,1,0.37834966
17,20251210_185619_Cam1_00007,1,0.37746406
18,20250417_123456_Cam1_00147,1,0.37370819
19,20250417_123456_Cam1_00148,1,0.37005985
20,20250417_123456_Cam1_00162,1,0.36776888
