rank,frame_id,label,score
0,20250417_123456_Cam4_00079,0,1.00000000
1,20251210_185619_Cam4_00024,1,1.00000000
2,20251210_185619_Cam4_00022,1,1.00000000
3,20251112_191827_Cam4_00095,1,1.00000000
4,20251112_191827_Cam4_00088,1,1.00000000
5,20251112_191827_Cam4_00066,0,1.00000000
6,20251112_191827_Cam4_00063,0,1.00000000
7,20251112_191827_Cam4_00054,1,1.00000000
8,20251112_191827_Cam4_00034,0,1.00000000
9,20251112_191827_Cam4_00028,1,1.00000000
10,20251112_191827_Cam4_00015,1,1.00000000
11,20251112_191827_Cam4_00011,1,1.00000000
12,20250417_123456_Cam4_00162,1,1.00000000
13,20250417_123456_Cam4_00152,0,1.00000000
14,20250417_123456_Cam4_00140,1,1.00000000
15,20250417_123456_Cam4_00134,0,1.00000000
16,20251210_185619_Cam4_00034,0,1.00000000
17,20251210_185619_Cam4_00046,0,1.00000000
