rank,frame_id,label,score
0,20251112_191827_Cam4_00015,1,1.69140625
1,20251112_191827_Cam4_00095,1,1.66406250
2,20251112_191827_Cam4_00054,1,1.56250000
3,20251210_185619_Cam4_00022,1,1.55859375
4,20251112_191827_Cam4_00011,1,1.55468750
5,20251210_185619_Cam4_00046,0,1.55078125
6,20251112_191827_Cam4_00063,0,1.55078125
7,20251112_191827_Cam4_00034,0,1.54687500
8,20251112_191827_Cam4_00066,0,1.54296875
9,20251112_191827_Cam4_00088,1,1.53906250
10,20250417_123456_Cam4_00134,0,1.53515625
11,20251210_185619_Cam4_00024,1,1.53515625
12,20251210_185619_Cam4_00034,0,1.53125000
13,20250417_123456_Cam4_00152,0,1.53125000
14,20251112_191827_Cam4_00028,1,1.52343750
15,20250417_123456_Cam4_00140,1,1.50781250
16,20250417_123456_Cam4_00079,0,1.50781250
17,20250417_123456_Cam4_00162,1,1.49609375
