rank,frame_id,label,score
0,20251112_191827_Cam4_00095,1,0.01018181
1,20251210_185619_Cam4_00024,1,0.00528439
2,20250417_123456_Cam4_00134,0,0.00503318
3,20251112_191827_Cam4_00011,1,0.00448624
4,20251210_185619_Cam4_00022,1,0.00440821
5,20250417_123456_Cam4_00162,1,0.00422562
6,20250417_123456_Cam4_00079,0,0.00400779
7,20251112_191827_Cam4_00088,1,0.00362962
8,20251210_185619_Cam4_00034,0,0.00356952
9,20251112_191827_Cam4_00054,1,0.00356238
10,20251210_185619_Cam4_00046,0,0.00355674
11,20251112_191827_Cam4_00066,0,0.00351659
12,20250417_123456_Cam4_00152,0,0.00345513
13,20251112_191827_Cam4_00028,1,0.00308827
14,20251112_191827_Cam4_00034,0,0.00291381
15,20251112_191827_Cam4_00015,1,0.00283075
16,20251112_191827_Cam4_00063,0,0.00261325
17,20250417_123456_Cam4_00140,1,0.00259084
