rank,frame_id,label,score
0,20251112_191827_Cam4_00015,1,1461.88024902
1,20251112_191827_Cam4_00095,1,1425.20935059
2,20251112_191827_Cam4_00028,1,866.38446045
3,20251210_185619_Cam4_00022,1,849.46795654
4,20251112_191827_Cam4_00011,1,811.03125000
5,20251112_191827_Cam4_00066,0,741.16937256
6,20251112_191827_Cam4_00054,1,679.20867920
7,20250417_123456_Cam4_00079,0,663.90600586
8,20250417_123456_Cam4_00134,0,633.31994629
9,20251210_185619_Cam4_00046,0,631.51574707
10,20251210_185619_Cam4_00024,1,621.77319336
11,20250417_123456_Cam4_00152,0,602.91778564
12,20251112_191827_Cam4_00034,0,594.34405518
13,20250417_123456_Cam4_00162,1,556.28759766
14,20250417_123456_Cam4_00140,1,541.88354492
15,20251210_185619_Cam4_00034,0,508.05426025
16,20251112_191827_Cam4_00063,0,428.88726807
17,20251112_191827_Cam4_00088,1,386.56130981
