rank,frame_id,label,score
0,20251210_185619_Cam4_00022,1,1.09465957
1,20251112_191827_Cam4_00095,1,1.09062231
2,20251112_191827_Cam4_00034,0,1.08805060
3,20251210_185619_Cam4_00046,0,1.07991362
4,20251112_191827_Cam4_00015,1,1.07987368
5,20251112_191827_Cam4_00066,0,1.07567465
6,20251112_191827_Cam4_00011,1,1.06775582
7,20251112_191827_Cam4_00028,1,1.06591249
8,20251210_185619_Cam4_00034,0,1.03593433
9,20250417_123456_Cam4_00152,0,1.02283263
10,20250417_123456_Cam4_00134,0,1.02086306
11,20250417_123456_Cam4_00162,1,1.01971722
12,20251210_185619_Cam4_00024,1,1.01331377
13,20250417_123456_Cam4_00079,0,1.00294840
14,20251112_191827_Cam4_00054,1,0.97032171
15,20250417_123456_Cam4_00140,1,0.95338035
16,20251112_191827_Cam4_00063,0,0.88027900
17,20251112_191827_Cam4_00088,1,0.86862057
