rank,frame_id,label,score
0,20251112_191827_Cam4_00028,1,1.86921930
1,20251112_191827_Cam4_00095,1,1.83000326
2,20251112_191827_Cam4_00015,1,1.80375910
3,20251112_191827_Cam4_00011,1,1.75011349
4,20251210_185619_Cam4_00022,1,1.71784401
5,20250417_123456_Cam4_00140,1,1.68904746
6,20251112_191827_Cam4_00034,0,1.67561793
7,20251112_191827_Cam4_00066,0,1.66335094
8,20250417_123456_Cam4_00079,0,1.65591645
9,20250417_123456_Cam4_00162,1,1.65461469
10,20250417_123456_Cam4_00134,0,1.64935207
11,20251210_185619_Cam4_00046,0,1.64689982
12,20250417_123456_Cam4_00152,0,1.64121985
13,20251210_185619_Cam4_00034,0,1.63603830
14,20251112_191827_Cam4_00054,1,1.61584723
15,20251210_185619_Cam4_00024,1,1.60467541
16,20251112_191827_Cam4_00088,1,1.57605171
17,20251112_191827_Cam4_00063,0,1.52249956
