rank,frame_id,label,score
0,20251112_191827_Cam4_00095,1,0.88930923
1,20251112_191827_Cam4_00015,1,0.87273276
2,20251112_191827_Cam4_00088,1,0.86483192
3,20251112_191827_Cam4_00011,1,0.86023945
4,20251112_191827_Cam4_00028,1,0.83292234
5,20250417_123456_Cam4_00140,1,0.81546080
6,20251112_191827_Cam4_00054,1,0.81400901
7,20251210_185619_Cam4_00024,1,0.79398715
8,20251112_191827_Cam4_00066,0,0.77940661
9,20250417_123456_Cam4_00152,0,0.77334559
10,20251210_185619_Cam4_00034,0,0.76755458
11,20251210_185619_Cam4_00022,1,0.76059908
12,20250417_123456_Cam4_00162,1,0.75911486
13,20251112_191827_Cam4_00034,0,0.75910294
14,20251112_191827_Cam4_00063,0,0.75850797
15,20251210_185619_Cam4_00046,0,0.75794929
16,20250417_123456_Cam4_00079,0,0.74690741
17,20250417_123456_Cam4_00134,0,0.73181170
