rank,frame_id,label,score
0,20251112_191827_Cam4_00015,1,0.43029532
1,20251112_191827_Cam4_00028,1,0.42007908
2,20251112_191827_Cam4_00095,1,0.38462102
3,20250417_123456_Cam4_00134,0,0.32611242
4,20251210_185619_Cam4_00046,0,0.31252044
5,20251210_185619_Cam4_00022,1,0.29121909
6,20251112_191827_Cam4_00066,0,0.28625873
7,20251112_191827_Cam4_00054,1,0.28388178
8,20251112_191827_Cam4_00034,0,0.27903283
9,20251210_185619_Cam4_00024,1,0.27656832
10,20251112_191827_Cam4_00011,1,0.27376094
11,20250417_123456_Cam4_00162,1,0.27218717
12,20251210_185619_Cam4_00034,0,0.26582742
13,20250417_123456_Cam4_00079,0,0.25555339
14,20250417_123456_Cam4_00152,0,0.25080791
15,20250417_123456_Cam4_00140,1,0.19363393
16,20251112_191827_Cam4_00063,0,0.14040644
17,20251112_191827_Cam4_00088,1,0.11893164
