rank,frame_id,label,score
0,20251112_191827_Cam4_00028,1,0.47931454
1,20251112_191827_Cam4_00015,1,0.45702371
2,20251112_191827_Cam4_00095,1,0.41169810
3,20250417_123456_Cam4_00134,0,0.33332214
4,20251210_185619_Cam4_00046,0,0.31655839
5,20251210_185619_Cam4_00022,1,0.29732978
6,20251112_191827_Cam4_00066,0,0.29270190
7,20251210_185619_Cam4_00024,1,0.29066202
8,20251112_191827_Cam4_00054,1,0.28982824
9,20251112_191827_Cam4_00011,1,0.28551826
10,20251112_191827_Cam4_00034,0,0.28501806
11,20251210_185619_Cam4_00034,0,0.28289413
12,20250417_123456_Cam4_00162,1,0.28036374
13,20250417_123456_Cam4_00079,0,0.26172599
14,20250417_123456_Cam4_00152,0,0.25848258
15,20250417_123456_Cam4_00140,1,0.20197469
16,20251112_191827_Cam4_00063,0,0.15147988
17,20251112_191827_Cam4_00088,1,0.12690531
