rank,frame_id,label,score
0,20251112_191827_Cam4_00028,1,0.06753026
1,20251112_191827_Cam4_00095,1,0.05953742
2,20251112_191827_Cam4_00015,1,0.05548849
3,20251112_191827_Cam4_00054,1,0.05208571
4,20250417_123456_Cam4_00140,1,0.04117903
5,20251210_185619_Cam4_00022,1,0.03620774
6,20250417_123456_Cam4_00162,1,0.03220759
7,20251112_191827_Cam4_00034,0,0.03165153
8,20251210_185619_Cam4_00024,1,0.03098474
9,20251112_191827_Cam4_00011,1,0.03043532
10,20251112_191827_Cam4_00088,1,0.02967376
11,20251112_191827_Cam4_00066,0,0.02962958
12,20251210_185619_Cam4_00034,0,0.02865734
13,20251112_191827_Cam4_00063,0,0.02862340
14,20250417_123456_Cam4_00152,0,0.02397858
15,20250417_123456_Cam4_00079,0,0.02381658
16,20250417_123456_Cam4_00134,0,0.02178568
17,20251210_185619_Cam4_00046,0,0.02000996
