rank,frame_id,label,score
0,20251112_191827_Cam5_00015,1,0.73437500
1,20251112_191827_Cam5_00018,1,0.72656250
2,20251112_191827_Cam5_00067,1,0.69921875
3,20251112_191827_Cam5_00028,1,0.69531250
4,20251112_191827_Cam5_00033,0,0.69140625
5,20251112_191827_Cam5_00036,0,0.68750000
6,20251112_191827_Cam5_00095,1,0.68750000
7,20251112_191827_Cam5_00040,0,0.68359375
8,20251112_191827_Cam5_00046,0,0.68359375
9,20251112_191827_Cam5_00123,1,0.68359375
10,20251112_191827_Cam5_00022,0,0.66796875
11,20251112_191827_Cam5_00012,0,0.66406250
12,20251112_191827_Cam5_00006,0,0.65625000
13,20251112_191827_Cam5_00007,1,0.65625000
