rank,frame_id,label,score
0,20251112_191827_Cam5_00015,1,0.00525077
1,20251112_191827_Cam5_00028,1,0.00455826
2,20251112_191827_Cam5_00067,1,0.00405923
3,20251112_191827_Cam5_00095,1,0.00404328
4,20251112_191827_Cam5_00036,0,0.00403716
5,20251112_191827_Cam5_00033,0,0.00399347
6,20251112_191827_Cam5_00018,1,0.00391971
7,20251112_191827_Cam5_00040,0,0.00388015
8,20251112_191827_Cam5_00046,0,0.00386496
9,20251112_191827_Cam5_00006,0,0.00379395
10,20251112_191827_Cam5_00123,1,0.00379107
11,20251112_191827_Cam5_00007,1,0.00378040
12,20251112_191827_Cam5_00012,0,0.00375769
13,20251112_191827_Cam5_00022,0,0.00360537
