rank,frame_id,label,score
0,20251112_191827_Cam5_00018,1,0.01195549
1,20251112_191827_Cam5_00006,0,0.01026213
2,20251112_191827_Cam5_00007,1,0.00815173
3,20251112_191827_Cam5_00046,0,0.00753238
4,20251112_191827_Cam5_00067,1,0.00599499
5,20251112_191827_Cam5_00015,1,0.00546097
6,20251112_191827_Cam5_00028,1,0.00505131
7,20251112_191827_Cam5_00036,0,0.00484458
8,20251112_191827_Cam5_00095,1,0.00479735
9,20251112_191827_Cam5_00123,1,0.00466622
10,20251112_191827_Cam5_00033,0,0.00464790
11,20251112_191827_Cam5_00012,0,0.00448106
12,20251112_191827_Cam5_00040,0,0.00426407
13,20251112_191827_Cam5_00022,0,0.00412059
