rank,frame_id,label,score
0,20251112_191827_Cam5_00018,1,194.45866394
1,20251112_191827_Cam5_00040,0,174.77105713
2,20251112_191827_Cam5_00007,1,168.37719727
3,20251112_191827_Cam5_00028,1,155.97908020
4,20251112_191827_Cam5_00046,0,154.30729675
5,20251112_191827_Cam5_00095,1,153.00526428
6,20251112_191827_Cam5_00033,0,149.61827087
7,20251112_191827_Cam5_00067,1,149.03807068
8,20251112_191827_Cam5_00006,0,141.57411194
9,20251112_191827_Cam5_00123,1,138.22712708
10,20251112_191827_Cam5_00036,0,135.16894531
11,20251112_191827_Cam5_00015,1,126.18045044
12,20251112_191827_Cam5_00022,0,125.81964874
13,20251112_191827_Cam5_00012,0,118.33244324
