rank,frame_id,label,score
0,20251112_191827_Cam5_00018,1,0.63976789
1,20251112_191827_Cam5_00028,1,0.49868727
2,20251112_191827_Cam5_00015,1,0.44152841
3,20251112_191827_Cam5_00095,1,0.38680097
4,20251112_191827_Cam5_00007,1,0.38100013
5,20251112_191827_Cam5_00033,0,0.33839402
6,20251112_191827_Cam5_00036,0,0.32752013
7,20251112_191827_Cam5_00123,1,0.32242709
8,20251112_191827_Cam5_00067,1,0.31601241
9,20251112_191827_Cam5_00040,0,0.31214347
10,20251112_191827_Cam5_00022,0,0.30638272
11,20251112_191827_Cam5_00006,0,0.30519575
12,20251112_191827_Cam5_00012,0,0.30512273
13,20251112_191827_Cam5_00046,0,0.30430332
