rank,frame_id,label,score
0,20251112_191827_Cam5_00006,0,0.10924592
1,20251112_191827_Cam5_00046,0,0.10230977
2,20251112_191827_Cam5_00012,0,0.09580269
3,20251112_191827_Cam5_00022,0,0.08562817
4,20251112_191827_Cam5_00095,1,0.08527517
5,20251112_191827_Cam5_00036,0,0.08461707
6,20251112_191827_Cam5_00018,1,0.08325308
7,20251112_191827_Cam5_00015,1,0.08252808
8,20251112_191827_Cam5_00033,0,0.08093867
9,20251112_191827_Cam5_00123,1,0.08016541
10,20251112_191827_Cam5_00067,1,0.07904840
11,20251112_191827_Cam5_00028,1,0.07788412
12,20251112_191827_Cam5_00007,1,0.07740694
13,20251112_191827_Cam5_00040,0,0.06912490
