module_ablation,frame_id,label,fusion_auroc_total,rgb_auroc,depth_auroc,fusion_auroc,rgb_isolated_auroc,depth_isolated_auroc,rgb_rank,rgb_score,depth_rank,depth_score,fusion_rank,fusion_score,rgb_isolated_rank,rgb_isolated_score,depth_isolated_rank,depth_isolated_score
full,20250417_123456_Cam4_00079,0,0.68750000,0.60000000,0.67500000,0.68750000,0.81250000,0.63750000,16,0.00584776,17,0.00315829,17,0.00585724,8,0.00404536,17,0.00287648
full,20250417_123456_Cam4_00134,0,0.68750000,0.60000000,0.67500000,0.68750000,0.81250000,0.63750000,15,0.00626176,5,0.00849033,14,0.00923610,16,0.00261680,4,0.02234073
full,20250417_123456_Cam4_00152,0,0.68750000,0.60000000,0.67500000,0.68750000,0.81250000,0.63750000,17,0.00460980,4,0.01058704,11,0.01210902,13,0.00352718,2,0.03015192
full,20251112_191827_Cam4_00034,0,0.68750000,0.60000000,0.67500000,0.68750000,0.81250000,0.63750000,5,0.01451381,8,0.00445544,8,0.01468407,7,0.00418614,12,0.00386419
full,20251112_191827_Cam4_00063,0,0.68750000,0.60000000,0.67500000,0.68750000,0.81250000,0.63750000,4,0.01542163,12,0.00419643,6,0.01570128,12,0.00354153,15,0.00354369
full,20251112_191827_Cam4_00066,0,0.68750000,0.60000000,0.67500000,0.68750000,0.81250000,0.63750000,2,0.01672562,13,0.00412374,4,0.01712839,6,0.00421609,11,0.00427606
full,20251210_185619_Cam4_00034,0,0.68750000,0.60000000,0.67500000,0.68750000,0.81250000,0.63750000,10,0.00992254,14,0.00403825,13,0.01028686,14,0.00328019,8,0.00545286
full,20251210_185619_Cam4_00046,0,0.68750000,0.60000000,0.67500000,0.68750000,0.81250000,0.63750000,7,0.01260416,9,0.00440889,10,0.01286951,17,0.00260030,10,0.00440225
full,20250417_123456_Cam4_00140,1,0.68750000,0.60000000,0.67500000,0.68750000,0.81250000,0.63750000,11,0.00890786,10,0.00440571,15,0.00917091,4,0.00545328,9,0.00473834
full,20250417_123456_Cam4_00162,1,0.68750000,0.60000000,0.67500000,0.68750000,0.81250000,0.63750000,6,0.01340543,16,0.00376555,9,0.01364467,5,0.00484952,13,0.00379065
full,20251112_191827_Cam4_00011,1,0.68750000,0.60000000,0.67500000,0.68750000,0.81250000,0.63750000,13,0.00778520,7,0.00588141,16,0.00806785,10,0.00400355,7,0.00571512
full,20251112_191827_Cam4_00015,1,0.68750000,0.60000000,0.67500000,0.68750000,0.81250000,0.63750000,8,0.01258992,1,0.03656885,1,0.04004286,0,0.01241085,0,0.05101082
full,20251112_191827_Cam4_00028,1,0.68750000,0.60000000,0.67500000,0.68750000,0.81250000,0.63750000,14,0.00719300,2,0.01500024,7,0.01548993,2,0.00776119,3,0.02580083
full,20251112_191827_Cam4_00054,1,0.68750000,0.60000000,0.67500000,0.68750000,0.81250000,0.63750000,0,0.01898274,15,0.00400971,2,0.01922145,3,0.00595255,16,0.00352329
full,20251112_191827_Cam4_00088,1,0.68750000,0.60000000,0.67500000,0.68750000,0.81250000,0.63750000,1,0.01810542,11,0.00439008,3,0.01833647,11,0.00360197,14,0.00376178
full,20251112_191827_Cam4_00095,1,0.68750000,0.60000000,0.67500000,0.68750000,0.81250000,0.63750000,12,0.00805652,0,0.04810281,0,0.04973834,1,0.00842005,1,0.05069912
full,20251210_185619_Cam4_00022,1,0.68750000,0.60000000,0.67500000,0.68750000,0.81250000,0.63750000,9,0.01026126,6,0.00808366,12,0.01041874,15,0.00263160,6,0.00869414
full,20251210_185619_Cam4_00024,1,0.68750000,0.60000000,0.67500000,0.68750000,0.81250000,0.63750000,3,0.01586663,3,0.01198627,5,0.01596317,9,0.00401423,5,0.01175635
no_ca,20250417_123456_Cam4_00079,0,0.73750000,0.61250000,0.82500000,0.73750000,0.85000000,0.68750000,16,0.00878033,17,0.01037504,17,0.01273557,6,0.00823757,17,0.01381062
no_ca,20250417_123456_Cam4_00134,0,0.73750000,0.61250000,0.82500000,0.73750000,0.85000000,0.68750000,15,0.01003761,13,0.01290155,16,0.01752703,16,0.00494299,5,0.02645533
no_ca,20250417_123456_Cam4_00152,0,0.73750000,0.61250000,0.82500000,0.73750000,0.85000000,0.68750000,17,0.00687887,4,0.01913346,9,0.02136326,15,0.00528329,3,0.03685133
no_ca,20251112_191827_Cam4_00034,0,0.73750000,0.61250000,0.82500000,0.73750000,0.85000000,0.68750000,4,0.02391512,8,0.01402684,7,0.02508448,11,0.00714294,8,0.01848693
