module_ablation,frame_id,label,fusion_auroc_total,rgb_auroc,depth_auroc,fusion_auroc,rgb_isolated_auroc,depth_isolated_auroc,rgb_rank,rgb_score,depth_rank,depth_score,fusion_rank,fusion_score,rgb_isolated_rank,rgb_isolated_score,depth_isolated_rank,depth_isolated_score
no_ca,20250417_123456_Cam4_00079,0,0.73750000,0.61250000,0.82500000,0.73750000,0.85000000,0.68750000,16,0.00878033,17,0.01037504,17,0.01273557,6,0.00823757,17,0.01381062
no_ca,20250417_123456_Cam4_00134,0,0.73750000,0.61250000,0.82500000,0.73750000,0.85000000,0.68750000,15,0.01003761,13,0.01290155,16,0.01752703,16,0.00494299,5,0.02645533
no_ca,20250417_123456_Cam4_00152,0,0.73750000,0.61250000,0.82500000,0.73750000,0.85000000,0.68750000,17,0.00687887,4,0.01913346,9,0.02136326,15,0.00528329,3,0.03685133
no_ca,20251112_191827_Cam4_00034,0,0.73750000,0.61250000,0.82500000,0.73750000,0.85000000,0.68750000,4,0.02391512,8,0.01402684,7,0.02508448,11,0.00714294,8,0.01848693
no_ca,20251112_191827_Cam4_00063,0,0.73750000,0.61250000,0.82500000,0.73750000,0.85000000,0.68750000,2,0.02696721,10,0.01355386,5,0.02805670,12,0.00644741,10,0.01811923
no_ca,20251112_191827_Cam4_00066,0,0.73750000,0.61250000,0.82500000,0.73750000,0.85000000,0.68750000,5,0.02360750,11,0.01350923,8,0.02499687,5,0.00828859,11,0.01788088
no_ca,20251210_185619_Cam4_00034,0,0.73750000,0.61250000,0.82500000,0.73750000,0.85000000,0.68750000,7,0.01872227,16,0.01141927,10,0.02018108,14,0.00559697,14,0.01575582
no_ca,20251210_185619_Cam4_00046,0,0.73750000,0.61250000,0.82500000,0.73750000,0.85000000,0.68750000,11,0.01793865,15,0.01154466,15,0.01829054,17,0.00489545,15,0.01556409
no_ca,20250417_123456_Cam4_00140,1,0.73750000,0.61250000,0.82500000,0.73750000,0.85000000,0.68750000,8,0.01852911,12,0.01323880,13,0.01944426,4,0.00843671,12,0.01739018
no_ca,20250417_123456_Cam4_00162,1,0.73750000,0.61250000,0.82500000,0.73750000,0.85000000,0.68750000,6,0.01905869,6,0.01493187,11,0.02013126,7,0.00816251,13,0.01634884
no_ca,20251112_191827_Cam4_00011,1,0.73750000,0.61250000,0.82500000,0.73750000,0.85000000,0.68750000,14,0.01406125,5,0.01553485,12,0.01963545,9,0.00724587,6,0.01975333
no_ca,20251112_191827_Cam4_00015,1,0.73750000,0.61250000,0.82500000,0.73750000,0.85000000,0.68750000,10,0.01807964,1,0.06297293,1,0.06836567,0,0.01775952,1,0.06047324
no_ca,20251112_191827_Cam4_00028,1,0.73750000,0.61250000,0.82500000,0.73750000,0.85000000,0.68750000,13,0.01468896,2,0.04905940,2,0.05105836,2,0.01506777,2,0.04464119
no_ca,20251112_191827_Cam4_00054,1,0.73750000,0.61250000,0.82500000,0.73750000,0.85000000,0.68750000,3,0.02451789,9,0.01363772,6,0.02562716,3,0.00998813,9,0.01818111
no_ca,20251112_191827_Cam4_00088,1,0.73750000,0.61250000,0.82500000,0.73750000,0.85000000,0.68750000,0,0.02803571,7,0.01453794,4,0.02902579,10,0.00717380,7,0.01912072
no_ca,20251112_191827_Cam4_00095,1,0.73750000,0.61250000,0.82500000,0.73750000,0.85000000,0.68750000,12,0.01675678,0,0.06995626,0,0.07306190,1,0.01735068,0,0.06954610
no_ca,20251210_185619_Cam4_00022,1,0.73750000,0.61250000,0.82500000,0.73750000,0.85000000,0.68750000,9,0.01809640,14,0.01213308,14,0.01889536,13,0.00590414,16,0.01497036
no_ca,20251210_185619_Cam4_00024,1,0.73750000,0.61250000,0.82500000,0.73750000,0.85000000,0.68750000,1,0.02776176,3,0.03360664,3,0.03545015,8,0.00741093,4,0.03191406
