module_ablation,frame_id,label,fusion_auroc_total,rgb_auroc,depth_auroc,fusion_auroc,rgb_isolated_auroc,depth_isolated_auroc,rgb_rank,rgb_score,depth_rank,depth_score,fusion_rank,fusion_score,rgb_isolated_rank,rgb_isolated_score,depth_isolated_rank,depth_isolated_score
no_cf_ca,20250417_123456_Cam4_00079,0,0.73750000,0.86250000,0.71250000,0.73750000,0.86250000,0.71250000,9,0.01000005,17,0.01016423,16,0.01414924,9,0.01000005,17,0.01016423
no_cf_ca,20250417_123456_Cam4_00134,0,0.73750000,0.86250000,0.71250000,0.73750000,0.86250000,0.71250000,15,0.00744436,5,0.01738340,5,0.02052716,15,0.00744436,5,0.01738340
no_cf_ca,20250417_123456_Cam4_00152,0,0.73750000,0.86250000,0.71250000,0.73750000,0.86250000,0.71250000,16,0.00716385,4,0.02589587,4,0.02912315,16,0.00716385,4,0.02589587
no_cf_ca,20251112_191827_Cam4_00034,0,0.73750000,0.86250000,0.71250000,0.73750000,0.86250000,0.71250000,11,0.00967259,8,0.01375989,11,0.01702300,11,0.00967259,8,0.01375989
no_cf_ca,20251112_191827_Cam4_00063,0,0.73750000,0.86250000,0.71250000,0.73750000,0.86250000,0.71250000,12,0.00960406,11,0.01325949,12,0.01632723,12,0.00960406,11,0.01325949
no_cf_ca,20251112_191827_Cam4_00066,0,0.73750000,0.86250000,0.71250000,0.73750000,0.86250000,0.71250000,4,0.01267413,9,0.01347193,9,0.01753684,4,0.01267413,9,0.01347193
no_cf_ca,20251210_185619_Cam4_00034,0,0.73750000,0.86250000,0.71250000,0.73750000,0.86250000,0.71250000,13,0.00920695,15,0.01134070,13,0.01557520,13,0.00920695,15,0.01134070
no_cf_ca,20251210_185619_Cam4_00046,0,0.73750000,0.86250000,0.71250000,0.73750000,0.86250000,0.71250000,17,0.00697108,16,0.01120617,17,0.01380634,17,0.00697108,16,0.01120617
no_cf_ca,20250417_123456_Cam4_00140,1,0.73750000,0.86250000,0.71250000,0.73750000,0.86250000,0.71250000,5,0.01133910,12,0.01269554,7,0.01799303,5,0.01133910,12,0.01269554
no_cf_ca,20250417_123456_Cam4_00162,1,0.73750000,0.86250000,0.71250000,0.73750000,0.86250000,0.71250000,7,0.01018050,13,0.01229348,14,0.01525257,7,0.01018050,13,0.01229348
no_cf_ca,20251112_191827_Cam4_00011,1,0.73750000,0.86250000,0.71250000,0.73750000,0.86250000,0.71250000,8,0.01001554,6,0.01526890,6,0.01855890,8,0.01001554,6,0.01526890
no_cf_ca,20251112_191827_Cam4_00015,1,0.73750000,0.86250000,0.71250000,0.73750000,0.86250000,0.71250000,0,0.02035873,1,0.05764142,1,0.06514777,0,0.02035873,1,0.05764142
no_cf_ca,20251112_191827_Cam4_00028,1,0.73750000,0.86250000,0.71250000,0.73750000,0.86250000,0.71250000,2,0.01781160,2,0.04401827,2,0.05068693,2,0.01781160,2,0.04401827
no_cf_ca,20251112_191827_Cam4_00054,1,0.73750000,0.86250000,0.71250000,0.73750000,0.86250000,0.71250000,3,0.01325061,10,0.01339052,8,0.01755143,3,0.01325061,10,0.01339052
no_cf_ca,20251112_191827_Cam4_00088,1,0.73750000,0.86250000,0.71250000,0.73750000,0.86250000,0.71250000,10,0.00987797,7,0.01431210,10,0.01734873,10,0.00987797,7,0.01431210
no_cf_ca,20251112_191827_Cam4_00095,1,0.73750000,0.86250000,0.71250000,0.73750000,0.86250000,0.71250000,1,0.01895656,0,0.06842674,0,0.07211991,1,0.01895656,0,0.06842674
no_cf_ca,20251210_185619_Cam4_00022,1,0.73750000,0.86250000,0.71250000,0.73750000,0.86250000,0.71250000,14,0.00879634,14,0.01196039,15,0.01511114,14,0.00879634,14,0.01196039
no_cf_ca,20251210_185619_Cam4_00024,1,0.73750000,0.86250000,0.71250000,0.73750000,0.86250000,0.71250000,6,0.01082477,3,0.02671531,3,0.03007195,6,0.01082477,3,0.02671531
