rank,frame_id,score,label
0,20251112_191827_Cam1_00028,0.01292469,1
1,20251112_191827_Cam1_00015,0.00932491,1
2,20251112_191827_Cam1_00095,0.00897033,1
3,20251210_185619_Cam1_00015,0.00611620,0
4,20251210_185619_Cam1_00040,0.00586581,1
5,20250417_123456_Cam1_00147,0.00580175,1
6,20250417_123456_Cam1_00148,0.00569326,1
7,20251210_185619_Cam1_00048,0.00541352,0
8,20251210_185619_Cam1_00017,0.00525909,1
9,20250417_123456_Cam1_00162,0.00489040,1
10,20251210_185619_Cam1_00010,0.00480009,0
11,20251210_185619_Cam1_00044,0.00450759,1
12,20251210_185619_Cam1_00021,0.00432213,0
13,20251210_185619_Cam1_00007,0.00424671,1
14,20251210_185619_Cam1_00038,0.00416621,0
15,20251210_185619_Cam1_00013,0.00415365,0
16,20251210_185619_Cam1_00020,0.00390821,0
17,20251210_185619_Cam1_00018,0.00384553,0
18,20251210_185619_Cam1_00045,0.00371472,0
19,20251210_185619_Cam1_00036,0.00359763,1
20,20251210_185619_Cam1_00025,0.00335390,0
