rank,frame_id,score,label
0,20251112_191827_Cam1_00015,0.01906180,1
1,20251112_191827_Cam1_00095,0.00819570,1
2,20251112_191827_Cam1_00028,0.00788260,1
3,20251210_185619_Cam1_00018,0.00656448,0
4,20251210_185619_Cam1_00036,0.00577532,1
5,20251210_185619_Cam1_00015,0.00532724,0
6,20251210_185619_Cam1_00017,0.00523229,1
7,20251210_185619_Cam1_00048,0.00521920,0
8,20251210_185619_Cam1_00013,0.00520742,0
9,20251210_185619_Cam1_00045,0.00518179,0
10,20251210_185619_Cam1_00007,0.00487636,1
11,20251210_185619_Cam1_00020,0.00474648,0
12,20251210_185619_Cam1_00040,0.00470590,1
13,20251210_185619_Cam1_00010,0.00436255,0
14,20250417_123456_Cam1_00148,0.00436078,1
15,20251210_185619_Cam1_00038,0.00435802,0
16,20251210_185619_Cam1_00044,0.00431848,1
17,20250417_123456_Cam1_00147,0.00403862,1
18,20251210_185619_Cam1_00021,0.00389484,0
19,20251210_185619_Cam1_00025,0.00380259,0
20,20250417_123456_Cam1_00162,0.00341852,1
