rank,frame_id,score,label
0,20251112_191827_Cam1_00015,0.07427270,1
1,20251112_191827_Cam1_00095,0.07411017,1
2,20250417_123456_Cam1_00147,0.01145446,1
3,20250417_123456_Cam1_00148,0.01133674,1
4,20251210_185619_Cam1_00038,0.01124841,0
5,20251210_185619_Cam1_00025,0.01122749,0
6,20251210_185619_Cam1_00013,0.01120266,0
7,20251210_185619_Cam1_00017,0.01118847,1
8,20251210_185619_Cam1_00018,0.01113101,0
9,20250417_123456_Cam1_00162,0.01110627,1
10,20251210_185619_Cam1_00048,0.01108631,0
11,20251210_185619_Cam1_00021,0.01108213,0
12,20251210_185619_Cam1_00045,0.01107488,0
13,20251210_185619_Cam1_00044,0.01107392,1
14,20251210_185619_Cam1_00007,0.01107307,1
15,20251210_185619_Cam1_00015,0.01103608,0
16,20251210_185619_Cam1_00040,0.01101774,1
17,20251210_185619_Cam1_00020,0.01100106,0
18,20251210_185619_Cam1_00010,0.01095201,0
19,20251112_191827_Cam1_00028,0.01091879,1
20,20251210_185619_Cam1_00036,0.01080623,1
