rank,frame_id,score,label
0,20250417_123456_Cam1_00162,0.15716931,1
1,20250417_123456_Cam1_00147,0.15023518,1
2,20250417_123456_Cam1_00148,0.13460091,1
3,20251210_185619_Cam1_00010,0.11024183,0
4,20251210_185619_Cam1_00018,0.10890429,0
5,20251210_185619_Cam1_00040,0.10701287,1
6,20251210_185619_Cam1_00007,0.10487398,1
7,20251210_185619_Cam1_00025,0.10389735,0
8,20251210_185619_Cam1_00036,0.10084414,1
9,20251210_185619_Cam1_00015,0.10031337,0
10,20251210_185619_Cam1_00021,0.09915074,0
11,20251112_191827_Cam1_00028,0.09869914,1
12,20251210_185619_Cam1_00017,0.09856619,1
13,20251210_185619_Cam1_00038,0.09790919,0
14,20251112_191827_Cam1_00015,0.09195188,1
15,20251210_185619_Cam1_00013,0.09091391,0
16,20251210_185619_Cam1_00048,0.08887440,0
17,20251210_185619_Cam1_00020,0.08880956,0
18,20251210_185619_Cam1_00044,0.07589732,1
19,20251210_185619_Cam1_00045,0.07373726,0
20,20251112_191827_Cam1_00095,0.06612665,1
