rank,frame_id,score,label
0,20250417_123456_Cam1_00162,0.15672991,1
1,20250417_123456_Cam1_00147,0.15002209,1
2,20250417_123456_Cam1_00148,0.13422568,1
3,20251210_185619_Cam1_00010,0.10979796,0
4,20251210_185619_Cam1_00018,0.10846256,0
5,20251210_185619_Cam1_00040,0.10473631,1
6,20251210_185619_Cam1_00007,0.10412143,1
7,20251210_185619_Cam1_00025,0.10202489,0
8,20251210_185619_Cam1_00036,0.09878849,1
9,20251210_185619_Cam1_00021,0.09851689,0
10,20251210_185619_Cam1_00015,0.09837771,0
11,20251210_185619_Cam1_00017,0.09835139,1
12,20251112_191827_Cam1_00028,0.09831864,1
13,20251210_185619_Cam1_00038,0.09544924,0
14,20251112_191827_Cam1_00015,0.09193955,1
15,20251210_185619_Cam1_00013,0.08980300,0
16,20251210_185619_Cam1_00020,0.08834792,0
17,20251210_185619_Cam1_00048,0.08711713,0
18,20251210_185619_Cam1_00044,0.07280181,1
19,20251210_185619_Cam1_00045,0.07095949,0
20,20251112_191827_Cam1_00095,0.06610979,1
