rank,frame_id,score,label
0,20251112_191827_Cam1_00015,0.01548282,1
1,20251112_191827_Cam1_00095,0.01473735,1
2,20251112_191827_Cam1_00028,0.01398889,1
3,20250417_123456_Cam1_00162,0.01252554,1
4,20250417_123456_Cam1_00147,0.01194245,1
5,20250417_123456_Cam1_00148,0.01152873,1
6,20251210_185619_Cam1_00048,0.01147580,0
7,20251210_185619_Cam1_00021,0.01140384,0
8,20251210_185619_Cam1_00020,0.01124320,0
9,20251210_185619_Cam1_00013,0.01116044,0
10,20251210_185619_Cam1_00040,0.01111252,1
11,20251210_185619_Cam1_00045,0.01107697,0
12,20251210_185619_Cam1_00007,0.01101396,1
13,20251210_185619_Cam1_00044,0.01098617,1
14,20251210_185619_Cam1_00017,0.01095238,1
15,20251210_185619_Cam1_00015,0.01078431,0
16,20251210_185619_Cam1_00025,0.01076992,0
17,20251210_185619_Cam1_00010,0.01076302,0
18,20251210_185619_Cam1_00038,0.01074490,0
19,20251210_185619_Cam1_00018,0.01067182,0
20,20251210_185619_Cam1_00036,0.01066733,1
