rank,frame_id,score,label
0,20251112_191827_Cam1_00028,0.01253728,1
1,20251112_191827_Cam1_00095,0.00866635,1
2,20251112_191827_Cam1_00015,0.00861520,1
3,20251210_185619_Cam1_00015,0.00594927,0
4,20251210_185619_Cam1_00040,0.00575354,1
5,20250417_123456_Cam1_00148,0.00537700,1
6,20250417_123456_Cam1_00147,0.00524849,1
7,20251210_185619_Cam1_00048,0.00515818,0
8,20251210_185619_Cam1_00017,0.00494402,1
9,20250417_123456_Cam1_00162,0.00453317,1
10,20251210_185619_Cam1_00010,0.00439296,0
11,20251210_185619_Cam1_00044,0.00435767,1
12,20251210_185619_Cam1_00021,0.00406388,0
13,20251210_185619_Cam1_00007,0.00391898,1
14,20251210_185619_Cam1_00013,0.00390311,0
15,20251210_185619_Cam1_00018,0.00382245,0
16,20251210_185619_Cam1_00038,0.00365464,0
17,20251210_185619_Cam1_00045,0.00349981,0
18,20251210_185619_Cam1_00020,0.00348463,0
19,20251210_185619_Cam1_00036,0.00332563,1
20,20251210_185619_Cam1_00025,0.00319111,0
