rank,frame_id,score,label
0,20251112_191827_Cam5_00028,0.09862842,1
1,20251112_191827_Cam5_00018,0.07203403,1
2,20251112_191827_Cam5_00095,0.06445207,1
3,20251112_191827_Cam5_00015,0.05344852,1
4,20251112_191827_Cam5_00006,0.04823875,0
5,20251112_191827_Cam5_00033,0.04492145,0
6,20251112_191827_Cam5_00007,0.04012162,1
7,20251112_191827_Cam5_00046,0.02597978,0
8,20251112_191827_Cam5_00022,0.02260878,0
9,20251112_191827_Cam5_00036,0.02112182,0
10,20251112_191827_Cam5_00067,0.02098231,1
11,20251112_191827_Cam5_00012,0.02085227,0
12,20251112_191827_Cam5_00123,0.02044808,1
13,20251112_191827_Cam5_00040,0.01986605,0
