rank,frame_id,score,label
0,20251112_191827_Cam5_00028,0.10013872,1
1,20251112_191827_Cam5_00018,0.07845011,1
2,20251112_191827_Cam5_00095,0.05988308,1
3,20251112_191827_Cam5_00015,0.05658067,1
4,20251112_191827_Cam5_00006,0.04989088,0
5,20251112_191827_Cam5_00033,0.04496409,0
6,20251112_191827_Cam5_00007,0.04114214,1
7,20251112_191827_Cam5_00046,0.02770897,0
8,20251112_191827_Cam5_00022,0.02394155,0
9,20251112_191827_Cam5_00123,0.02235951,1
10,20251112_191827_Cam5_00067,0.02206148,1
11,20251112_191827_Cam5_00036,0.02200215,0
12,20251112_191827_Cam5_00012,0.02148306,0
13,20251112_191827_Cam5_00040,0.02065674,0
