rank,frame_id,score,label
0,20251112_191827_Cam5_00028,0.10954086,1
1,20251112_191827_Cam5_00018,0.08463413,1
2,20251112_191827_Cam5_00095,0.06894264,1
3,20251112_191827_Cam5_00015,0.05666750,1
4,20251112_191827_Cam5_00006,0.05362387,0
5,20251112_191827_Cam5_00033,0.04677846,0
6,20251112_191827_Cam5_00007,0.04590654,1
7,20251112_191827_Cam5_00046,0.02915354,0
8,20251112_191827_Cam5_00022,0.02453989,0
9,20251112_191827_Cam5_00067,0.02323051,1
10,20251112_191827_Cam5_00036,0.02260366,0
11,20251112_191827_Cam5_00012,0.02235047,0
12,20251112_191827_Cam5_00123,0.02122044,1
13,20251112_191827_Cam5_00040,0.02108045,0
