rank,frame_id,score,label
0,20251112_191827_Cam5_00018,0.01417767,1
1,20251112_191827_Cam5_00028,0.01305090,1
2,20251112_191827_Cam5_00095,0.01190615,1
3,20251112_191827_Cam5_00007,0.00944816,1
4,20251112_191827_Cam5_00040,0.00919073,0
5,20251112_191827_Cam5_00015,0.00835655,1
6,20251112_191827_Cam5_00046,0.00831364,0
7,20251112_191827_Cam5_00123,0.00818550,1
8,20251112_191827_Cam5_00033,0.00799047,0
9,20251112_191827_Cam5_00006,0.00773498,0
10,20251112_191827_Cam5_00067,0.00731752,1
11,20251112_191827_Cam5_00012,0.00668606,0
12,20251112_191827_Cam5_00036,0.00553906,0
13,20251112_191827_Cam5_00022,0.00490660,0
