rank,frame_id,score,label
0,20251112_191827_Cam5_00095,0.02791931,1
1,20251112_191827_Cam5_00033,0.02551225,0
2,20251112_191827_Cam5_00028,0.02331995,1
3,20251112_191827_Cam5_00123,0.02214129,1
4,20251112_191827_Cam5_00040,0.02182561,0
5,20251112_191827_Cam5_00015,0.02041889,1
6,20251112_191827_Cam5_00046,0.01838554,0
7,20251112_191827_Cam5_00067,0.01739667,1
8,20251112_191827_Cam5_00018,0.01664661,1
9,20251112_191827_Cam5_00007,0.01482414,1
10,20251112_191827_Cam5_00006,0.01262769,0
11,20251112_191827_Cam5_00012,0.01196861,0
12,20251112_191827_Cam5_00022,0.01163103,0
13,20251112_191827_Cam5_00036,0.01124650,0
