rank,frame_id,score,label
0,20251112_191827_Cam5_00028,0.04482081,1
1,20251112_191827_Cam5_00095,0.03875292,1
2,20251112_191827_Cam5_00015,0.02020371,1
3,20251112_191827_Cam5_00033,0.01924415,0
4,20251112_191827_Cam5_00007,0.01812506,1
5,20251112_191827_Cam5_00018,0.01687702,1
6,20251112_191827_Cam5_00006,0.01538673,0
7,20251112_191827_Cam5_00022,0.01507847,0
8,20251112_191827_Cam5_00012,0.01485882,0
9,20251112_191827_Cam5_00046,0.01469946,0
10,20251112_191827_Cam5_00036,0.01463111,0
11,20251112_191827_Cam5_00040,0.01462741,0
12,20251112_191827_Cam5_00123,0.01458313,1
13,20251112_191827_Cam5_00067,0.01458222,1
