rank,frame_id,score,label
0,20251112_191827_Cam5_00028,0.04664516,1
1,20251112_191827_Cam5_00095,0.03717769,1
2,20251112_191827_Cam5_00015,0.02189722,1
3,20251112_191827_Cam5_00033,0.01934393,0
4,20251112_191827_Cam5_00007,0.01879010,1
5,20251112_191827_Cam5_00018,0.01851116,1
6,20251112_191827_Cam5_00006,0.01700073,0
7,20251112_191827_Cam5_00022,0.01648378,0
8,20251112_191827_Cam5_00123,0.01611356,1
9,20251112_191827_Cam5_00046,0.01606275,0
10,20251112_191827_Cam5_00040,0.01605748,0
11,20251112_191827_Cam5_00012,0.01605612,0
12,20251112_191827_Cam5_00067,0.01604662,1
13,20251112_191827_Cam5_00036,0.01602175,0
