rank,frame_id,score,label
0,20251112_191827_Cam5_00018,0.01407434,1
1,20251112_191827_Cam5_00028,0.01358091,1
2,20251112_191827_Cam5_00095,0.01154837,1
3,20251112_191827_Cam5_00040,0.00994681,0
4,20251112_191827_Cam5_00007,0.00939729,1
5,20251112_191827_Cam5_00033,0.00920248,0
6,20251112_191827_Cam5_00046,0.00892123,0
7,20251112_191827_Cam5_00123,0.00878347,1
8,20251112_191827_Cam5_00015,0.00852021,1
9,20251112_191827_Cam5_00067,0.00808858,1
10,20251112_191827_Cam5_00006,0.00795407,0
11,20251112_191827_Cam5_00012,0.00693924,0
12,20251112_191827_Cam5_00036,0.00560733,0
13,20251112_191827_Cam5_00022,0.00488013,0
