rank,frame_id,label,score
0,20251112_191827_Cam4_00015,1,222.10945129
1,20251112_191827_Cam4_00095,1,216.28443909
2,20250417_123456_Cam4_00140,1,199.86923218
3,20251112_191827_Cam4_00088,1,190.03126526
4,20251112_191827_Cam4_00028,1,183.65739441
5,20251112_191827_Cam4_00011,1,176.77374268
6,20250417_123456_Cam4_00162,1,174.56153870
7,20251210_185619_Cam4_00024,1,174.44158936
8,20251112_191827_Cam4_00054,1,153.66926575
9,20250417_123456_Cam4_00152,0,137.61685181
10,20251210_185619_Cam4_00022,1,131.30961609
11,20251112_191827_Cam4_00034,0,130.36694336
12,20250417_123456_Cam4_00134,0,124.90964508
13,20250417_123456_Cam4_00079,0,124.46783447
14,20251112_191827_Cam4_00063,0,122.38296509
15,20251210_185619_Cam4_00034,0,120.06540680
16,20251210_185619_Cam4_00046,0,119.38783264
17,20251112_191827_Cam4_00066,0,116.86128998
