rank,frame_id,label,score
0,20251112_191827_Cam4_00088,1,0.87948471
1,20251112_191827_Cam4_00095,1,0.87827009
2,20251112_191827_Cam4_00011,1,0.87661970
3,20251112_191827_Cam4_00015,1,0.86055207
4,20251112_191827_Cam4_00028,1,0.83206415
5,20250417_123456_Cam4_00140,1,0.83029217
6,20250417_123456_Cam4_00162,1,0.78694820
7,20251210_185619_Cam4_00024,1,0.77916521
8,20250417_123456_Cam4_00152,0,0.76502270
9,20251112_191827_Cam4_00054,1,0.76032811
10,20251210_185619_Cam4_00034,0,0.75027299
11,20251210_185619_Cam4_00022,1,0.74942392
12,20251112_191827_Cam4_00034,0,0.74579364
13,20251112_191827_Cam4_00066,0,0.73858678
14,20250417_123456_Cam4_00079,0,0.73332393
15,20251112_191827_Cam4_00063,0,0.73014259
16,20251210_185619_Cam4_00046,0,0.72936010
17,20250417_123456_Cam4_00134,0,0.72302449
