rank,frame_id,label,score
0,20251112_191827_Cam4_00095,1,0.88473523
1,20251112_191827_Cam4_00028,1,0.84251440
2,20251112_191827_Cam4_00015,1,0.83837485
3,20250417_123456_Cam4_00140,1,0.83819366
4,20251210_185619_Cam4_00024,1,0.82550430
5,20251112_191827_Cam4_00063,0,0.79572797
6,20251112_191827_Cam4_00054,1,0.79277039
7,20251210_185619_Cam4_00022,1,0.78415978
8,20250417_123456_Cam4_00162,1,0.77568454
9,20251112_191827_Cam4_00011,1,0.77046424
10,20251112_191827_Cam4_00088,1,0.76352823
11,20250417_123456_Cam4_00079,0,0.75228953
12,20251112_191827_Cam4_00034,0,0.74189156
13,20251112_191827_Cam4_00066,0,0.74119323
14,20250417_123456_Cam4_00134,0,0.73665023
15,20250417_123456_Cam4_00152,0,0.73328817
16,20251210_185619_Cam4_00034,0,0.72565585
17,20251210_185619_Cam4_00046,0,0.70184374
